Company;Type;Reg.nr.;PAX;YOM;
IFLY S.A;Agusta - AW109 Power;SX-HKV;5;2003;Helicopter
Life Line Aviation;Agusta A109 C;SX-HTK;7;1991;Helicopter
Hoverfly Divisione Sam S.R.L.;Agusta A109S;I-HFLY;6;2021;Helicopter
Air-Dynamic (Operated by Esperia Aviation Services S.p.A.);Agusta A109S Grand;I-ESPA;6;2009;Helicopter
Air-Dynamic (Operated by Esperia Aviation Services S.p.A.);Agusta A109S Grand;I-ESPI;6;2010;Helicopter
Set Air;Agusta AB139;TC-HLK;7;2022;VIP Airliner
Swiss Group International SGI AG (Operated by Sky Vision Airlines);Airbus  A320;SU-SKB;180;2004;Airliner
Mayfair Jets DWC LLC (Operated by AlMasria Universal Airlines);Airbus  A321;SU-TCL;220;2013;Airliner
DC Aviation Al Futtaim LLC (Operated by DC AVIATION SAN MARINO S.R.L.);Airbus 318 Elite;T7-ELSA;19;2010;VIP Airliner
Amelia (Operated by Amelia International);Airbus 319 Long Range;OE-LIA;60;2004;VIP Airliner
Global Jet Luxembourg S.A. (Operated by Global Jet Aruba V.B.A.);Airbus 320 Corporate Jet;P4-HSJ;31;2012;VIP Airliner
Air X;Airbus 340 VIP;9H-BIG;100;2000;Airliner
Druk Asia (Operated by Drukair Corporation Limited);Airbus A319;A5-RGG;118;2004;VIP Airliner
Amelia (Operated by Amelia International);Airbus A319;F-HDSJ;68;2008;VIP Airliner
Global Jet Luxembourg S.A. (Operated by Global Jet Aruba V.B.A.);Airbus A330;P4-MLO;30;2002;VIP Airliner
Comlux Aviation;Airbus ACJ318;9H-BDONE;18;2013;VIP Airliner
Comlux Aviation;Airbus ACJ319;9H-TBN;19;2012;VIP Airliner
Emirates;Airbus ACJ319;A6-CJE;19;2012;VIP Airliner
Rotana Jet;Airbus ACJ319;A6-RRJ;50;2012;VIP Airliner
Qatar Executive;Airbus ACJ319;A7-HHJ;19;2000;VIP Airliner
K5-Aviation;Airbus ACJ319neo;D-ANEO;19;2020;VIP Airliner
Global Jet Luxembourg S.A.;Airbus ACJ319neo;LX-NYX;10;2023;VIP Airliner
Acropolis Aviation Ltd;Airbus ACJ320neo;G-KELT;19;2019;VIP Airliner
K5-Aviation;Airbus ACJ330-300;D-AXEO;32;2021;VIP Airliner
MJet GmbH;Airbus Corporate Jetliner;OE-ICE;19;2011;VIP Airliner
LIFE Srl Unipersonale (Operated by MyCopter srl);Airbus EC135;9H-VIP;6;2001;Helicopter
Air-Dynamic (Operated by Star Work Sky S.A.S.);AIRBUS Helicopter AS350 B3;I-HASB;5;2010;Helicopter
Flapper Technologies LLC (Operated by Bravo Táxi Aéreo);AIRBUS Helicopter AS350 B3;PS-EII;5;2024;Helicopter
SOZJET HAVACILIK ANONİM ŞİRKETİ (Operated by Skyline Aviation);AW-109SP;TC-HME;5;2013;Helicopter
FCM JETS Group Ltd;Beechjet 400A;9H-YFJ;7;1999;Light Jet
JetBee Czech s.r.o.;Beechjet 400A;OK-BEE;8;2004;Light Jet
Smart Jet Sp z o.o.;Beechjet 400A;SP-TAT;7;2000;Light Jet
Mayfair Jets DWC LLC (Operated by AlMasria Universal Airlines);Boeing 737-400;SU-TCK;168;1998;Airliner
Oryx Jet (Operated by Comlux Aviation);Boeing 737-500 VIP;9H-MAC;56;1991;Airliner
Royal Jet;Boeing 737-700;A6-RJK;58;2007;Airliner
Comlux Aviation (Operated by Comlux Aruba);Boeing 767-200 VIP;P4-CLA;51;2002;Airliner
Air X;Boeing BBJ;9H-ELF;12;2001;VIP Airliner
Jet Aviation Business Jets AG (Operated by Jet Aviation Flight Services (Malta) Ltd.);Boeing BBJ;9H-GGG;15;2013;VIP Airliner
Royal Jet;Boeing BBJ;A6-AIN;46;1999;VIP Airliner
Royal Jet;Boeing BBJ;A6-DAS;46;2000;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJA;19;2010;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJF;19;2018;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJU;34;2015;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJV;34;2015;VIP Airliner
Royal Jet;Boeing BBJ;A6-RJZ;52;1999;VIP Airliner
Empire Aviation Group (Operated by Empire Aviation San Marino SRL.);Boeing BBJ;T7-HAS;18;2010;VIP Airliner
EAC Group (Operated by Avcon Jet SRL);Boeing BBJ;T7-MAK;17;2010;VIP Airliner
Global Jet Luxembourg S.A.;Boeing BBJ 3;LX-DIO;19;2016;VIP Airliner
DAS Private Jets GmbH;Challenger 300;D-BEAM;8;2014;Super Midsize Jet
Windrose Air;Challenger 300;D-BUBI;9;2007;Super Midsize Jet
Goldeck-Flug;Challenger 300;OE-HCA;8;2010;Super Midsize Jet
Elio Jet a.s.;Challenger 300;OK-AOA;9;2011;Super Midsize Jet
1903 Aviation AB;Challenger 300;SE-RMA;9;2006;Super Midsize Jet
OSCAR HAVACILIK TURIZM VE MEDYA HIZMETLERI SANAYI TICARET ANONIM SIRKETI (Operated by Bonair);Challenger 300;TC-EAR;9;2010;Super Midsize Jet
