Aircraft Type (Avinode);Normal Cruise Speed (kt);Cabin Width (m);Cabin Height (m);Cabin Length (m);Cabin Volume (m3);Baggage Capacity (m3);Seating Capacity
Agusta - AW109 Power;150;1.38;1.30;2.90;4.50;0.60;6–7
Agusta A109 C;145;1.38;1.30;2.60;4.10;0.50;5–6
Agusta A109S;150;1.38;1.30;2.90;4.50;0.60;6–7
Agusta A109S Grand;148;1.40;1.30;3.30;5.50;0.60;6–7
Agusta AB139;165;1.85;1.40;4.50;8.10;1.30;12–15
Airbus  A320;450;3.70;2.13;27.51;200.00;37.00;19–150 (VIP/airline layout)
Airbus  A321;450;3.70;2.13;34.44;250.00;44.00;19–200 (VIP/airline layout)
Airbus 318 Elite;450;3.70;2.13;20.00;120.00;25.00;19–30
Airbus 319 Long Range;450;3.70;2.13;23.78;174.00;32.00;19–39
Airbus 320 Corporate Jet;450;3.70;2.13;27.51;200.00;37.00;19–50
Airbus 340 VIP;470;4.14;2.28;50.00;350.00;25.00;8–100 (VIP layout)
Airbus A319;450;3.70;2.13;23.78;174.00;32.00;19–39
Airbus A330;470;5.28;2.41;45.00;330.00;30.00;8–24 (VIP layout)
Airbus ACJ318;450;3.70;2.13;20.00;120.00;25.00;19–30
Airbus ACJ319;450;3.70;2.13;23.78;174.00;32.00;19–39
Airbus ACJ319neo;470;3.70;2.13;23.78;174.00;32.00;19–39
Airbus ACJ320neo;470;3.70;2.13;27.51;200.00;37.00;19–50
Airbus ACJ330-300;470;5.28;2.41;45.00;330.00;30.00;8–24 (VIP layout)
Airbus Corporate Jetliner;450;3.70;2.13;23.78;174.00;32.00;19–39
Airbus EC135;123;1.66;1.25;2.80;4.60;0.40;5–7
AIRBUS Helicopter AS350 B3;130;1.40;1.30;2.05;2.50;0.30;5–6
AW-109SP;150;1.40;1.30;3.30;5.50;0.60;6–7
Beechjet 400A;428;1.46;1.42;5.49;9.30;1.40;7–9
Boeing 737-400;453;3.53;2.13;28.00;180.00;45.00;8–168 (VIP/airline layout)
Boeing 737-500 VIP;453;3.53;2.13;24.00;150.00;40.00;8–132 (VIP/airline layout)
Boeing 737-700;453;3.53;2.13;27.00;180.00;45.00;8–50 (VIP layout)
Boeing 767-200 VIP;459;4.72;2.13;40.00;380.00;50.00;8–100 (VIP layout)
Boeing BBJ;453;3.53;2.13;27.00;180.00;45.00;8–50 (VIP layout)
Boeing BBJ 3;453;3.53;2.13;36.00;220.00;52.00;8–63 (VIP layout)
Challenger 300;459;2.14;1.85;7.65;22.00;3.60;8–9
Challenger 350;459;2.14;1.85;7.65;22.70;3.98;8–10
Challenger 3500;461;2.14;1.85;7.65;22.70;3.98;8–10
Challenger 601;442;2.41;1.85;8.31;26.40;3.85;9–11
Challenger 604;459;2.41;1.85;8.31;26.40;3.85;9–11
Challenger 605;459;2.41;1.85;8.31;26.40;3.85;9–11
Challenger 650;459;2.41;1.85;8.31;26.40;3.85;9–11
Challenger 850;448;2.24;1.86;12.34;50.00;10.00;14–19
Citation Bravo;389;1.50;1.44;5.31;8.10;1.13;7–8
Citation CJ;389;1.44;1.44;4.27;6.40;0.65;5–6
Citation CJ 4;451;1.50;1.44;6.71;10.50;1.56;7–9
Citation CJ1;407;1.44;1.44;4.27;6.40;0.65;5–6
Citation CJ1+;413;1.44;1.44;4.27;6.40;0.65;5–6
Citation CJ2;418;1.44;1.44;5.23;8.00;0.85;6–7
Citation CJ2+;423;1.44;1.44;5.23;8.00;0.85;6–7
Citation CJ3;416;1.50;1.44;6.10;9.40;1.13;7–8
Citation CJ3+;431;1.50;1.44;6.10;9.40;1.13;7–8
Citation CJ4;451;1.50;1.44;6.71;10.50;1.56;7–9
Citation CJ4 Gen2;451;1.50;1.44;6.71;10.50;1.56;7–9
Citation Encore;411;1.50;1.44;5.31;8.10;1.13;7–8
Citation Encore+;430;1.50;1.44;5.31;8.10;1.13;7–8
Citation Excel;441;1.50;1.44;6.71;10.60;1.70;7–9
Citation I;380;1.36;1.32;4.06;5.40;0.68;5–6
Citation II;389;1.36;1.32;4.72;6.50;0.79;6–7
Citation III;450;1.63;1.55;7.16;13.00;1.13;8–9
Citation IISP;389;1.36;1.32;4.72;6.50;0.79;6–7
Citation Latitude;446;1.75;1.75;6.75;11.90;2.00;8–9
Citation Longitude;476;1.85;1.75;8.53;15.50;2.72;8–12
Citation M2;400;1.44;1.44;4.27;6.40;0.65;5–6
Citation Mustang;340;1.35;1.35;3.87;5.10;0.43;4–5
Citation Sovereign;460;1.63;1.55;7.85;14.30;2.15;9–12
Citation Sovereign+;460;1.63;1.55;7.85;14.30;2.15;9–12
Citation Ultra;411;1.50;1.44;5.31;8.10;1.13;7–8
Citation V;389;1.36;1.32;4.72;6.50;0.79;6–7
Citation VI;450;1.63;1.55;7.16;13.00;1.13;8–9
Citation VII;452;1.63;1.55;7.16;13.00;1.16;8–9
Citation X;527;1.63;1.55;7.29;13.60;1.40;8–9
Citation XLS;441;1.50;1.44;6.71;10.60;1.70;7–9
Citation XLS Gen 2;441;1.50;1.44;6.71;10.60;1.70;7–9
Citation XLS+;441;1.50;1.44;6.71;10.60;1.70;7–9
Dash 8-Q400;360;2.51;1.93;19.20;70.00;10.00;8–78 (VIP/commuter layout)
Dornier 328;335;2.42;1.90;11.20;40.00;6.00;19–33
Embraer 135;440;2.02;1.80;12.70;40.00;5.00;14–19
Embraer 145 EP;440;2.02;1.80;14.20;45.00;6.00;19–37
Embraer 145 EP VIP;440;2.02;1.80;14.20;45.00;6.00;9–19 (VIP layout)
Embraer 145 LR;440;2.02;1.80;14.20;45.00;6.00;19–37
Embraer 145 LU;440;2.02;1.80;14.20;45.00;6.00;19–37
Embraer 190;460;2.74;2.00;29.00;110.00;20.00;8–100 (VIP/airline layout)
Embraer ERJ 135;440;2.02;1.80;12.70;40.00;5.00;14–19
Embraer ERJ 135 VIP;440;2.02;1.80;12.70;40.00;5.00;9–19 (VIP layout)
Embraer ERJ 145;440;2.02;1.80;14.20;45.00;6.00;19–37
Embraer Lineage 1000;459;2.20;1.86;20.83;88.00;8.90;13–19
Embraer Lineage 1000E;459;2.20;1.86;20.83;88.00;8.90;13–19
Eurocopter AS365 N3;150;1.68;1.40;2.66;5.80;0.60;8–9
Eurocopter EC135 T1;123;1.66;1.25;2.80;4.60;0.40;5–7
